Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото
 Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,avtohtonnoe-vino-kryma-beloe-suhoe,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp
 Автохтонное Вино Крыма белое сухое,Белое,Светло-соломенный,Крым,"Алиготе, Кокур Белый, Сары Пандас","В аромате присутствует фруктово-цветочное направление, курага, груша, легкие медовые оттенки. Вкус умеренно-свежий, полный.",Валерий Захарьин,avtohtonnoe-vino-kryma-beloe-suhoe,PUSjv7dnMNilH25TO9BcbFN55lPrHsK4eSLja8tm9Ur62n50PyxhlRO1RU4s3eNZb1YqGT4HJPD_77QgWTf3Ng==.webp
" Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.
",Коммуналка,aligote-barrel-2024,DSC09173.webp
" Алиготе Баррель, 2024",Белое,Золотистый,Крым,Алиготе,"Вино золотистого цвета с тонкой структурой, хорошей кислотностью, долго раскрывается в бокале. Первый нос почти невесомый, с ароматами свежего сена и меловой нотой. Со временем раскрывается, наполняясь ароматами цветущего фруктового сада, акации, переходя в спелый персик и абрикос. Комплексное, свежее вино с легкой минеральностью в послевкусии и хорошей структурой.
",Коммуналка,aligote-barrel-2024,DSC09173.webp
 ЗБ вайн СПУМАНТЕ Брют белое,Белое,соломенный,Крым,Алиготе,"Изысканный букет цитрусовых, с легким нюансом аромата весенних цветов и белых фруктов. Элегантный, деликатный вкус с хорошо сбалансированной кислотностью.",Золотая Балка,zb-vajn-spumante-bryut-beloe,Спуманте белый брют.webp
100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135.webp
100 оттенков красного. Каберне,Красное,Темно-рубиновый,Кубань,Каберне Совиньон,"В аромате спелая вишня, чёрная смородина, лёгкая пряность. Вкус плотный, гармоничный, с мягкими танинами и ягодным послевкусием.",Фанагория,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-135.webp
100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-vyderzhannoe-135.webp
100 оттенков красного. Пино Нуар,Красное,Вино полупрозрачного гранатового цвета.,Кубань,Пино Нуар,"Стройный развитый аромат с нотами брусники, вяленых лесных ягод, гранатовых зерен, пастилы, тонкими животными нюансами. Вкус легкий и волнующий, многослойный. Все элементы вина находятся в балансе. Тонко, свежо, элегантно.",Фанагория,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-100-ottenkov-krasnogo-pino-nuar-krasnoe-suhoe-vyderzhannoe-135.webp
100 оттенков красного. Саперави,Красное,Темно-рубиновый,Кубань,Саперави,"В аромате тона ежевики, черники, тёмной вишни, оттенки специй. Вкус насыщенный, сбалансированный, с бархатными танинами.",Фанагория,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14.webp
100 оттенков красного. Саперави,Красное,Темно-рубиновый,Кубань,Саперави,"В аромате тона ежевики, черники, тёмной вишни, оттенки специй. Вкус насыщенный, сбалансированный, с бархатными танинами.",Фанагория,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-100-ottenkov-krasnogo-saperavi-krasnoe-suhoe-14.webp
100 оттенков. Шардоне,Белое,Соломенный,Кубань,Шардоне,"В аромате яблоко, груша, цитрус, лёгкие цветочные ноты. Вкус свежий, гармоничный, с минеральными нотами и цитрусовыми оттенками.",Фанагория,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14.webp
100 оттенков. Шардоне,Белое,Соломенный,Кубань,Шардоне,"В аромате яблоко, груша, цитрус, лёгкие цветочные ноты. Вкус свежий, гармоничный, с минеральными нотами и цитрусовыми оттенками.",Фанагория,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14,fanagoriya-100-ottenkov-shardone-beloe-suhoe-14.webp
101 оттенок красного. Каберне,Красное,Тёмно-рубиновый,Кубань,Каберне Совиньон,"В аромате чёрная смородина, ежевика, слива, лёгкие древесные ноты. Вкус насыщенный, гармоничный, с округлыми танинами и пряными оттенками.",Фанагория,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14.webp
101 оттенок красного. Каберне,Красное,Тёмно-рубиновый,Кубань,Каберне Совиньон,"В аромате чёрная смородина, ежевика, слива, лёгкие древесные ноты. Вкус насыщенный, гармоничный, с округлыми танинами и пряными оттенками.",Фанагория,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-kaberne-kaberne-sovinon-krasnoe-suhoe-14.webp
101 оттенок красного. Пино нуар,Красное,Рубиновый,Кубань,Пино Нуар,"В аромате черника, малина, ежевика, корица, подлесок. Вкус освежающий, объемный.",Фанагория,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135.webp
101 оттенок красного. Пино нуар,Красное,Рубиновый,Кубань,Пино Нуар,"В аромате черника, малина, ежевика, корица, подлесок. Вкус освежающий, объемный.",Фанагория,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135,fanagoriya-101-ottenok-krasnogo-pino-nuar-krasnoe-suhoe-135.webp
101 оттенок красного. Саперави,Красное,Тёмно-рубиновый,Кубань,Саперави,"В аромате ежевика, чёрная вишня, специи, оттенки фиалки. Вкус глубокий, бархатный, с сочной ягодной структурой и лёгкой терпкостью.",Фанагория,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14.webp
101 оттенок красного. Саперави,Красное,Тёмно-рубиновый,Кубань,Саперави,"В аромате ежевика, чёрная вишня, специи, оттенки фиалки. Вкус глубокий, бархатный, с сочной ягодной структурой и лёгкой терпкостью.",Фанагория,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14,fanagoriya-101-ottenok-krasnogo-saperavi-krasnoe-suhoe-14.webp
4 elements. Каберне Совиньон,Красное,Темно-рубиновый,Крым,Каберне Совиньон,"Вкус: Насыщенный ягодный. Ноты черных ягод, пыльная комната, слива, шелковица.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15.webp
4 elements. Каберне Совиньон,Красное,Темно-рубиновый,Крым,Каберне Совиньон,"Вкус: Насыщенный ягодный. Ноты черных ягод, пыльная комната, слива, шелковица.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15,usadba-rodnoe-gnezdo-4-elements-kaberne-sovinon-krasnoe-suhoe-15.webp
4 elements. Рислинг,Белое,Соломенный,Крым,Рислинг,"Вкус: Фруктовый с выраженной кислотностью. Зеленое яблоко, свежескошенная трава, полевые цветы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12.webp
4 elements. Рислинг,Белое,Светло-соломенный,Крым,Рислинг,"Вкус: Округлое с выраженной кислотностью. Персик, медовые тона, зеленое яблоко, свежескошенная трава, полевые цветы, сладкие ароматы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12.webp
4 elements. Рислинг,Белое,Соломенный,Крым,Рислинг,"Вкус: Фруктовый с выраженной кислотностью. Зеленое яблоко, свежескошенная трава, полевые цветы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-suhoe-12.webp
4 elements. Рислинг,Белое,Светло-соломенный,Крым,Рислинг,"Вкус: Округлое с выраженной кислотностью. Персик, медовые тона, зеленое яблоко, свежескошенная трава, полевые цветы, сладкие ароматы.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12,usadba-rodnoe-gnezdo-4-elements-risling-beloe-polusuhoe-12.webp
4 elements. Сира. Розе,Розовое,Лососевый,Крым,Сира,"Вкус: Насыщенный ягодный со сливочными нотами. Барбарис, клубника, земляника, сливки.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135.webp
4 elements. Сира. Розе,Розовое,Лососевый,Крым,Сира,"Вкус: Насыщенный ягодный со сливочными нотами. Барбарис, клубника, земляника, сливки.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135,usadba-rodnoe-gnezdo-4-elements-sira-roze-rozovoe-polusuhoe-135.webp
4 elements. Совиньон Блан,Белое,Светло-соломенный,Крым,Совиньон Блан,"Вкус: Насыщенный с тонкими медовыми тонами. Мед, Дюшес, груша, лимонад, зеленое яблоко.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12.webp
4 elements. Совиньон Блан,Белое,Соломенный,Крым,Совиньон Блан,"Вкус: Свежий, фруктовый. Лист крыжовника, травы, тропики.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12.webp
4 elements. Совиньон Блан,Белое,Светло-соломенный,Крым,Совиньон Блан,"Вкус: Насыщенный с тонкими медовыми тонами. Мед, Дюшес, груша, лимонад, зеленое яблоко.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-polusladkoe-12.webp
4 elements. Совиньон Блан,Белое,Соломенный,Крым,Совиньон Блан,"Вкус: Свежий, фруктовый. Лист крыжовника, травы, тропики.",Усадьба Родное Гнездо,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12,usadba-rodnoe-gnezdo-4-elements-sovinon-blan-beloe-suhoe-12.webp
5 elements Брют белое,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,"Пино Гри, Рислинг, Шардоне","В аромате цветы, фрукты, цитрусы. Вкус свежий, чистый, гармоничный, фруктовый.",Фанагория,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125.webp
5 elements Брют белое,Белое,Светло-соломенный с зеленоватым оттенком,Кубань,"Пино Гри, Рислинг, Шардоне","В аромате цветы, фрукты, цитрусы. Вкус свежий, чистый, гармоничный, фруктовый.",Фанагория,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125,fanagoriya-5-elements-bryut-beloe-pino-gri-igristoe-bryut-beloe-125.webp
5 elements Брют розовое,Розовое,Розовый,Кубань,"Каберне Совиньон, Мерло, Саперави","В аромате ягодные ноты, малина, клубника, красная смородина и нотки цветущей вербы. Вкус свежий, бодрящий, живая кислотность.",Фанагория,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125.webp
5 elements Брют розовое,Розовое,Розовый,Кубань,"Каберне Совиньон, Мерло, Саперави","В аромате ягодные ноты, малина, клубника, красная смородина и нотки цветущей вербы. Вкус свежий, бодрящий, живая кислотность.",Фанагория,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125,fanagoriya-5-elements-bryut-rozovoe-saperavi-igristoe-bryut-rozovoe-125.webp
50/50 Цимлянский-Сибирьковый Экстра брют,Белое,Бледно-желтый,Долина Дона,"Сибирьковый, Цимлянский черный","В аромате минеральные ноты мела и кремния, тона выпечки и тостов с конфитюром. Вкус чистый, хрустящий, свежий с элегантной текстурой, фруктовыми и минеральными оттенками, живой кислотностью и бодрящим послевкусием.",Ведерниковъ,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12.webp
50/50 Цимлянский-Сибирьковый Экстра брют,Белое,Бледно-желтый,Долина Дона,"Сибирьковый, Цимлянский черный","В аромате минеральные ноты мела и кремния, тона выпечки и тостов с конфитюром. Вкус чистый, хрустящий, свежий с элегантной текстурой, фруктовыми и минеральными оттенками, живой кислотностью и бодрящим послевкусием.",Ведерниковъ,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12,vinodelnya-vedernikov-5050-tsimlyanskiy-sibirkovyy-ekstra-bryut-beloe-12.webp
A.G.Poezdnik. Белое,Белое,Золотистый,Кубань,Шардоне,"Вкус: Минеральный, свежий с преобладанием тропических фруктов и груши. Яркий с медово-цветочными нотами, переходящие в ноты засахаренной цедры.",Шато Пино,shato-pino-agpoezdnik-beloe-shardone-suhoe-13,shato-pino-beloe-shardone-beloe-suhoe-13.webp
A.G.Poezdnik. Белое,Белое,Золотистый,Кубань,Шардоне,"Вкус: Минеральный, свежий с преобладанием тропических фруктов и груши. Яркий с медово-цветочными нотами, переходящие в ноты засахаренной цедры.",Шато Пино,shato-pino-agpoezdnik-beloe-shardone-suhoe-13,shato-pino-beloe-shardone-beloe-suhoe-13.webp
A.G.Poezdnik. Красное,Красное,Темно-гранатовый,Кубань,Каберне Фран,"Вкус: Сбалансированный, с вишневыми нотами и оттенками дуба. Продолжительное послевкусие. Спелые фрукты и ягоды: слива, красная смородина, кизил",Шато Пино,shato-pino-agpoezdnik-krasnoe-kaberne-fran-suhoe-14,shato-pino-krasnoe-kaberne-fran-krasnoe-suhoe-14.webp
A.G.Poezdnik. Красное,Красное,Темно-гранатовый,Кубань,Каберне Фран,"Вкус: Сбалансированный, с вишневыми нотами и оттенками дуба. Продолжительное послевкусие. Спелые фрукты и ягоды: слива, красная смородина, кизил",Шато Пино,shato-pino-agpoezdnik-krasnoe-kaberne-fran-suhoe-14,shato-pino-krasnoe-kaberne-fran-krasnoe-suhoe-14.webp
Abrau Estates Амурский Потапенко,Красное,Рубиновый с пурпурным оттенком,Кубань,Амурский Потапенко,"В аромате цветочные ноты пионов и фиалок, тона черных ягод и фруктов – шелковицы, черной смородины и ежевики с нюансами пряностей. Во вкусе ноты синей сливы, черешни, черной смородины. Послевкусие с яркими танинами и тонкой пряностью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105.webp
Abrau Estates Амурский Потапенко,Красное,Рубиновый с пурпурным оттенком,Кубань,Амурский Потапенко,"В аромате цветочные ноты пионов и фиалок, тона черных ягод и фруктов – шелковицы, черной смородины и ежевики с нюансами пряностей. Во вкусе ноты синей сливы, черешни, черной смородины. Послевкусие с яркими танинами и тонкой пряностью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105,abrau-dyurso-abrau-estates-amurskiy-potapenko-krasnoe-suhoe-105.webp
Abrau Estates белое,Белое,Светло-соломенный,Кубань,"Рислинг, Уньи блан, Шардоне","В аромате ноты белого персика, свежих тропических фруктов, средиземноморских специй и лаванды. В аромате тона грейпфрута, экзотических фруктов и белой дыни с яркой, живой кислотностью и ярким послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12.webp
Abrau Estates белое,Белое,Светло-соломенный,Кубань,"Рислинг, Уньи блан, Шардоне","В аромате ноты белого персика, свежих тропических фруктов, средиземноморских специй и лаванды. В аромате тона грейпфрута, экзотических фруктов и белой дыни с яркой, живой кислотностью и ярким послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12,abrau-dyurso-abrau-estates-beloe-shardone-suhoe-12.webp
Abrau Estates Каберне по-белому,Белое,Соломенный с розовым оттенком,Кубань,Каберне Совиньон,"В аромате тона белой сливы, крыжовника и весенних первоцветов. Во вкусе ягодные оттенки с нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105.webp
Abrau Estates Каберне по-белому,Белое,Соломенный с розовым оттенком,Кубань,Каберне Совиньон,"В аромате тона белой сливы, крыжовника и весенних первоцветов. Во вкусе ягодные оттенки с нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105,abrau-dyurso-abrau-estates-kaberne-po-belomu-kaberne-sovinon-beloe-suhoe-105.webp
Abrau Estates красное,Красное,Тёмно-гранатовый,Кубань,"Каберне Совиньон, Мерло","В аромате фрукты, табак, чернослив, шоколад и мускатный орех. Вкус кислотный, свежий, с мягкими танинами, легкими животными и табачными нюансами в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13.webp
Abrau Estates красное,Красное,Тёмно-гранатовый,Кубань,"Каберне Совиньон, Мерло","В аромате фрукты, табак, чернослив, шоколад и мускатный орех. Вкус кислотный, свежий, с мягкими танинами, легкими животными и табачными нюансами в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13,abrau-dyurso-abrau-estates-krasnoe-kaberne-sovinon-suhoe-13.webp
Abrau Estates Оранж,Оранжевое,Янтарный,Кубань,Цитронный Магарача,"В аромате медовые и цитрусовые оттенки, ноты спелых и сочных белых фруктов, пряные тона полевых трав с нюансами мяты. Вкус сбалансированный с сочными, но тонкими танинами, цитрусовой легкой кислинкой и медовой сладостью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105.webp
Abrau Estates Оранж,Оранжевое,Янтарный,Кубань,Цитронный Магарача,"В аромате медовые и цитрусовые оттенки, ноты спелых и сочных белых фруктов, пряные тона полевых трав с нюансами мяты. Вкус сбалансированный с сочными, но тонкими танинами, цитрусовой легкой кислинкой и медовой сладостью.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105,abrau-dyurso-abrau-estates-oranzh-tsitronnyy-magaracha-oranzhevoe-suhoe-105.webp
Abrau Estates. Достойный,Красное,Рубиновый,Кубань,Достойный,"В аромате джемовые ноты красных ягод: смородины, вишни, кизила и терна. тона сафьяна и тонкая копченая нота. Аромат яркий, объемный с ягодной свежестью, тонкой кислотностью и бархатными танинами.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135.webp
Abrau Estates. Достойный,Красное,Рубиновый,Кубань,Достойный,"В аромате джемовые ноты красных ягод: смородины, вишни, кизила и терна. тона сафьяна и тонкая копченая нота. Аромат яркий, объемный с ягодной свежестью, тонкой кислотностью и бархатными танинами.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135,abrau-dyurso-abrau-estates-dostoynyy-krasnoe-suhoe-135.webp
Abrau Estates. Розе,Розовое,Нежно-розовый,Кубань,"Каберне Совиньон, Каберне Фран","В аромате тона свежей клубники, спелой малины и смородины. Вкус легкий, наполненный ягодными оттенками, отличается свежестью и хорошим балансом. Сочные ягодные оттенки дополнены нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12.webp
Abrau Estates. Розе,Розовое,Нежно-розовый,Кубань,"Каберне Совиньон, Каберне Фран","В аромате тона свежей клубники, спелой малины и смородины. Вкус легкий, наполненный ягодными оттенками, отличается свежестью и хорошим балансом. Сочные ягодные оттенки дополнены нюансами минеральности с деликатным послевкусием.",Абрау-Дюрсо,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12,abrau-dyurso-abrau-estates-roze-kaberne-sovinon-rozovoe-suhoe-12.webp
Abrau-Durso Brut Rose Reserve,Белое,Насыщенный розовый,Кубань,"Каберне Совиньон, Каберне Фран, Мерло, Пино Нуар, Пино фран","В аромате красные лесные ягоды — малина, вишня и земляника, оттенки пенки малинового варенья и клубники со сливками. Вкус округлый и мягкий, свежая кислотность, пряные травы в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12.webp
Abrau-Durso Brut Rose Reserve,Белое,Насыщенный розовый,Кубань,"Каберне Совиньон, Каберне Фран, Мерло, Пино Нуар, Пино фран","В аромате красные лесные ягоды — малина, вишня и земляника, оттенки пенки малинового варенья и клубники со сливками. Вкус округлый и мягкий, свежая кислотность, пряные травы в послевкусии.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12,abrau-dyurso-abrau-durso-brut-rose-reserve-pino-nuar-beloe-bryut-12.webp
Abrau-Durso Reserve Brut,Белое,Золотистый,Кубань,"Пино Блан, Рислинг, Шардоне","В аромате тона зеленого яблока, груши вильямс и цветов акации, оттенки пряных трав и меда. Вкус структурный, кислотный. Ноты зеленого яблока, цедры лайма и лимона.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115.webp
Abrau-Durso Reserve Brut,Белое,Золотистый,Кубань,"Пино Блан, Рислинг, Шардоне","В аромате тона зеленого яблока, груши вильямс и цветов акации, оттенки пряных трав и меда. Вкус структурный, кислотный. Ноты зеленого яблока, цедры лайма и лимона.",Абрау-Дюрсо,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115,abrau-dyurso-abrau-durso-reserve-brut-shardone-beloe-bryut-115.webp
Adagum Cabernet Franc,Красное,Рубиновый с фиолетовым оттенком,Кубань,Каберне Фран,"Деликатный аромат красных ягод, тонов паприки и лёгких травянистых нюансов. Вкус средней полноты, с мягкой танинностью, освежающей кислотностью и элегантным послевкусием.
Хорошо сочетается с белым мясом, телятиной, печёными овощами, блюдами в соусе из красного вина, сырами бри и камамбер.",Olymp Winery,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11.webp
Adagum Cabernet Franc,Красное,Рубиновый с фиолетовым оттенком,Кубань,Каберне Фран,"Деликатный аромат красных ягод, тонов паприки и лёгких травянистых нюансов. Вкус средней полноты, с мягкой танинностью, освежающей кислотностью и элегантным послевкусием.
Хорошо сочетается с белым мясом, телятиной, печёными овощами, блюдами в соусе из красного вина, сырами бри и камамбер.",Olymp Winery,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-franc-kaberne-fran-krasnoe-suhoe-11.webp
Adagum Cabernet Sauvignon,Красное,Гранатово-рубиновый,Кубань,Каберне Совиньон,"Гармоничный яркий аромат с тонами чёрной смородины, специй и вишни. Вкус насыщенный, с мягкими танинами и обволакивающим длительным послевкусием.
Подходит к любому мясу, особенно тушёному, к дичи, тёплым салатам, мясным закускам и блюдам с грибами",Olymp Winery,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11.webp
Adagum Cabernet Sauvignon,Красное,Гранатово-рубиновый,Кубань,Каберне Совиньон,"Гармоничный яркий аромат с тонами чёрной смородины, специй и вишни. Вкус насыщенный, с мягкими танинами и обволакивающим длительным послевкусием.
Подходит к любому мясу, особенно тушёному, к дичи, тёплым салатам, мясным закускам и блюдам с грибами",Olymp Winery,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11,olymp-winery-adagum-cabernet-sauvignon-kaberne-sovinon-krasnoe-suhoe-11.webp
Adagum Chardonnay,Белое,Светло-соломенный,Кубань,Шардоне,"Свежий аромат зелёного яблока, цитруса и белых цветов, лёгкие минеральные нотки. Вкус живой, с хрустящей кислотностью и чистым фруктовым послевкусием.
Подходит к морепродуктам, лёгким рыбным блюдам, овощным закускам, мягким сырам и в качестве аперитива.",Olymp Winery,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11.webp
Adagum Chardonnay,Белое,Светло-соломенный,Кубань,Шардоне,"Свежий аромат зелёного яблока, цитруса и белых цветов, лёгкие минеральные нотки. Вкус живой, с хрустящей кислотностью и чистым фруктовым послевкусием.
Подходит к морепродуктам, лёгким рыбным блюдам, овощным закускам, мягким сырам и в качестве аперитива.",Olymp Winery,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11,olymp-winery-adagum-chardonnay-shardone-beloe-suhoe-11.webp
