Название вина,Категория,Цвет,Регион,Сорт винограда,Описание,Винодельня,Slug,Название фото
Winemaker's Selection Саперави,Красное,"Цвет глубокий, рубиновый.",Крым,Саперави,"Игра мелких настойчивых пузырьков. Аромат узнаваемый сортовой: черная пряная вишня, зрелый кизил, тона черной смородины и граната. Простой и понятный вкус сладких черных фруктов уравновешен заметной кислотностью и приятной терпкостью.",Инкерманский ЗМВ,inkermanskiy-zmv-winemakers-selection-saperavi-krasnoe-polusladkoe-12,inkermanskiy-zmv-winemakers-selection-saperavi-igristoe-polusladkoe-krasnoe-12.webp
Winemaker's Selection Саперави,Красное,"Цвет глубокий, рубиновый.",Крым,Саперави,"Игра мелких настойчивых пузырьков. Аромат узнаваемый сортовой: черная пряная вишня, зрелый кизил, тона черной смородины и граната. Простой и понятный вкус сладких черных фруктов уравновешен заметной кислотностью и приятной терпкостью.",Инкерманский ЗМВ,inkermanskiy-zmv-winemakers-selection-saperavi-krasnoe-polusladkoe-12,inkermanskiy-zmv-winemakers-selection-saperavi-igristoe-polusladkoe-krasnoe-12.webp
Winery Series. Пино Нуар,Розовое,Яркий розовый,Кубань,Пино Нуар,"Вкус: С невесомой структурой, сбалансированной кислотностью и продолжительным, нежным послевкусием. Богатый оттенками земляники, барбариса и клубники, дополненными сливочными тонами йогурта.",Golubitskoe Estate,golubitskoe-estate-winery-series-pino-nuar-rozovoe-suhoe-115,golubitskoe-estate-winery-series-pino-nuar-rozovoe-suhoe-115.webp
Winery Series. Пино Нуар,Розовое,Яркий розовый,Кубань,Пино Нуар,"Вкус: С невесомой структурой, сбалансированной кислотностью и продолжительным, нежным послевкусием. Богатый оттенками земляники, барбариса и клубники, дополненными сливочными тонами йогурта.",Golubitskoe Estate,golubitskoe-estate-winery-series-pino-nuar-rozovoe-suhoe-115,golubitskoe-estate-winery-series-pino-nuar-rozovoe-suhoe-115.webp
Winery Series. Рислинг Рейнский,Белое,Светло-золотистый с зеленоватым оттенком.,Кубань,Рислинг Рейнский,"Вкус: Приятный, свежий с сочной кислотностью и продолжительным, ярким, сбалансированным послевкусием. Элегантный, с цветочными оттенками жасмина, тонами цитрусовых фруктов и нотками сливочного крема.",Golubitskoe Estate,golubitskoe-estate-winery-series-risling-reynskiy-beloe-suhoe-125,golubitskoe-estate-winery-series-risling-reynskiy-beloe-suhoe-125.webp
Winery Series. Рислинг Рейнский,Белое,Светло-золотистый с зеленоватым оттенком.,Кубань,Рислинг Рейнский,"Вкус: Приятный, свежий с сочной кислотностью и продолжительным, ярким, сбалансированным послевкусием. Элегантный, с цветочными оттенками жасмина, тонами цитрусовых фруктов и нотками сливочного крема.",Golubitskoe Estate,golubitskoe-estate-winery-series-risling-reynskiy-beloe-suhoe-125,golubitskoe-estate-winery-series-risling-reynskiy-beloe-suhoe-125.webp
Winery Series. Розе бленд,Розовое,Яркий кораллово-розовый,Кубань,Каберне Совиньон,"Вкус: Мягкий, гармоничный, с ярко выраженным ягодным профилем, с тонами кизила и клюквы, с легкой минеральностью и нюансами сухих трав в продолжительном, немного терпком послевкусии. Легкий, гармоничный, с оттенками белой и красной смородины, крыжовника, клубничных леденцов и розы, которые дополняет пикантная нотка зеленого перца.",Golubitskoe Estate,golubitskoe-estate-winery-series-roze-blend-kaberne-sovinon-rozovoe-suhoe-117,golubitskoe-estate-winery-series-roze-blend-kaberne-sovinon-rozovoe-suhoe-117.webp
Winery Series. Розе бленд,Розовое,Яркий кораллово-розовый,Кубань,Каберне Совиньон,"Вкус: Мягкий, гармоничный, с ярко выраженным ягодным профилем, с тонами кизила и клюквы, с легкой минеральностью и нюансами сухих трав в продолжительном, немного терпком послевкусии. Легкий, гармоничный, с оттенками белой и красной смородины, крыжовника, клубничных леденцов и розы, которые дополняет пикантная нотка зеленого перца.",Golubitskoe Estate,golubitskoe-estate-winery-series-roze-blend-kaberne-sovinon-rozovoe-suhoe-117,golubitskoe-estate-winery-series-roze-blend-kaberne-sovinon-rozovoe-suhoe-117.webp
ZB Frizzante Dry,Белое,Соломенно-золотистый,Крым,"Мускат Янтарный, Рислинг, Ркацители","В аромате тона крымского персика, яблока и груши. Вкус свежий, ажурный, мягкий, с лёгкими медово-мускатными тонами, нотками айвы с мёдом, абрикоса и цитруса, освежающей кислотностью.
Идеальный аперитив, отлично сочетается с фруктами, лёгкими десертами и морепродуктами.",Золотая Балка,zolotaya-balka-zb-frizzante-dry-risling-beloe-suhoe-10,zolotaya-balka-zb-frizzante-dry-risling-beloe-suhoe-10.webp
ZB Frizzante Dry,Белое,Соломенно-золотистый,Крым,"Мускат Янтарный, Рислинг, Ркацители","В аромате тона крымского персика, яблока и груши. Вкус свежий, ажурный, мягкий, с лёгкими медово-мускатными тонами, нотками айвы с мёдом, абрикоса и цитруса, освежающей кислотностью.
Идеальный аперитив, отлично сочетается с фруктами, лёгкими десертами и морепродуктами.",Золотая Балка,zolotaya-balka-zb-frizzante-dry-risling-beloe-suhoe-10,zolotaya-balka-zb-frizzante-dry-risling-beloe-suhoe-10.webp
ZB Frizzante Semi-Dry Rose,Розовое,Нежный розовый оттенок.,Крым,"Алиготе, Бастардо Магарачский, Каберне Совиньон, Мускат Гамбургский, Пино Нуар, Рислинг, Ркацители, Саперави, Шардоне","Гармоничный аромат ягодных тонов — вишни, чёрной смородины и малины. Вкус деликатный и мягкий, с нежными оттенками земляники и вишни, лёгкая пузырьковая игра оставляет сливочное послевкусие.
Отличный аперитив, хорошо сочетается с лёгкими закусками, фруктами, ягодными десертами и в формате вечеринки.",Золотая Балка,zolotaya-balka-zb-frizzante-semi-dry-rose-risling-rozovoe-polusuhoe-10,zolotaya-balka-zb-frizzante-semi-dry-rose-risling-rozovoe-polusuhoe-10.webp
ZB Frizzante Semi-Dry Rose,Розовое,Нежный розовый оттенок.,Крым,"Алиготе, Бастардо Магарачский, Каберне Совиньон, Мускат Гамбургский, Пино Нуар, Рислинг, Ркацители, Саперави, Шардоне","Гармоничный аромат ягодных тонов — вишни, чёрной смородины и малины. Вкус деликатный и мягкий, с нежными оттенками земляники и вишни, лёгкая пузырьковая игра оставляет сливочное послевкусие.
Отличный аперитив, хорошо сочетается с лёгкими закусками, фруктами, ягодными десертами и в формате вечеринки.",Золотая Балка,zolotaya-balka-zb-frizzante-semi-dry-rose-risling-rozovoe-polusuhoe-10,zolotaya-balka-zb-frizzante-semi-dry-rose-risling-rozovoe-polusuhoe-10.webp
